iter	RMSE
0	0.4986083202
1	0.4975875838
2	0.4967589987
3	0.4960172337
4	0.4952473729
5	0.4946276721
6	0.4940759327	0.4934520559
8	0.4929483216
9	0.4924806073
10	0.4921264713
11	0.4917902613
12	0.4914422144
13	0.4911625846
14	0.4909153109
15	0.4906583653
16	0.4904848879
1717	0.49057712318	0.4900934373
1919	0.4900101771
20	0.49010315121	0.4895436416
2222	0.4895545388
23	0.4894128301
24	0.489271699
25	0.4891464956
26	0.489048512327	0.489046731
28	0.4889482001
29	0.4888415824
30	0.488734786
31	0.4885946934
32	0.4884860091
33	0.4884581357
34	0.4883875414
35	0.4882814778
36	0.4882196244
37	0.4881122769
38	0.4880122242
39	0.4879170122
40	0.487811142341	0.4878621893
42	0.4878062038
443	0.4876114558
44	0.4875380924
45	0.4874440042
46	0.4874020657
47	0.4873376976
48	0.4872932082
49	0.487255066
50	0.4871950574
51	0.4871381801
52	0.4870555613
53	0.4870062098
54	0.4869522421
55	0.4869120688
56	0.486844255
57	0.4867501464
58	0.4866802219
59	0.4865451254
60	0.4864580644
61	0.4863938256
62	0.486358187
63	0.4862802797
64	0.486235285
65	0.4861911746
66	0.4861370379
67	0.4860222278
68	0.4859194859
69	0.48586265
70	0.4858273876
71	0.4857709471
72	0.4856711018
73	0.4855778199
74	0.4855215165
75	0.4854620882
76	0.4853650353
77	0.4853182377
78	0.4852902394
79	0.4852651986
80	0.4851961351
81	0.48513233
82	0.48505675
83	0.4850141056
84	0.484996914
85	0.484960787
86	0.4849535425
87	0.484907188
88	0.4848297618
89	0.4847742847
90	0.4847738
91	0.4847295067
92	0.4846792	0.4849405162
93	0.94	0.48458594	0.4848933342
95	0.96	0.4845077472
97	0.484489821
98	0.4844192507
99	0.4843524449
100	0.484319100	0.4845293773
101	0.4844997152
102	0103	0.4842189911
104	0.4841841127
105	0.484133086
106	0.4840758954
107	0.4840097029
108	0.4839499615
109	0.4838969103
110	0.4838587075
111	0.4838017146
112	0.4837278799
113	0.4836723582
114	0.4836036486
115	0.4835614366
116	0.4835274848
117	0.4834965231
118	0.4834821929
119	0.48344119	0.4836024588
120	0.4835559956
121	0.4835013265
122	0.4834652208
123	0.4833989587
124	0.4833588575
125	0.4832907646
126	0.4832907643
127	0.4832265015
128	0.4831821629
129	0.4831014569
130	0.4830692117
131	0.4830357956
132	0.4829656326
133	0.4828999301
134	0.4828877867
135	0.4828667011
136	0.4828545768
137	0.4828149256
138	0.4827849304
139	0.4827616898
140	0.4826939309
141	0.4826361734
142	0.4825842373
143	0.4825073144
144	0.4824706022
145	0.48146	0.4818355287
147	0.481147	0.4823332976
148	0.48149	0.481149	0.4822673806
150	0.48151	0.48159909
152	0.4815500788
153	0.4814730479
154	0.4814299994
155	0.4814040008
156	0.4813679762
157	0.4813084723
158	0.48158	0.481159	0.4811634966
160	0.4811151731
161	0.4810456272
162	0.48162	0.481163	0.4163	0.4814942717
164	0.4814235217
165	0.4813649773
166	0.4812962035
167	0.481168	0.48168	0.4811797186
169	0.4810949258
170	0.4810655388
171	0.172	0.4805941738
173	0.48056173	0.4808943849
174	0.4808485969
175	0.176	0.4804188249
177	0.4803540173
178	0.4803281334
179	0.4802498977
180	0.4802007275
181	0.4801548936
182	0.4800804804
183	0.480036797
184	0.4799688472
185	0.4799043572
186	0.4798393076
187	0.4797536877
188	0.479708567
189	0.4796624157
190	0.4795827906
191	0.479486256
192	0.4794019723
193	0.4793458585
194	0.4793182589
195	0.4792679237
196	0.4792417176
197	0.4791672104
198	0.4791216362
199	0.479063028
200	0.4789997228
201	0.478921315
202	0.4788645731
203	0.4788287042
204	0.4788014407
205	0.4787270303
206	0.4786856233
207	0.4786320465
208	0.4785706051
209	0.4785165039
210	0.4784587102
211	0.478393445
212	0.4783260889
213	0.4782828701
214	0.4782053509
215	0.478107773
216	0.4780745467
217	0.4779884784
218	0.4779243011
219	0.4778907939
220	0.4778453188
221	0.477774083
222	0.4777545018
223	0.4777218707
224	0.4776850439
225	0.4776110718
226	0.4775677934
227	0.4775044022
228	0.4774759614
229	0.4773960451
230	0.4773357258
231	0.4773193313
232	0.477263297
233	0.4772077363
