iter	Passed	Remaining
0	189	188811	235	117712
22	286	95241
3	297	74144
4	299	59610
5	300	49842
6	302	4287	47	412	51188
8	453	49988
9	456	45149110	487	43787111	585	48240
12	594	45114
13	607	42751
14	641	42119
15	646	39756
16	647	37417	675	36879
18	18	697	3591919	708	347220	715	33377
21	21	751	3340522	794	33744
23	811	32998
24	812	31702
227	1005	34906
28	1006	33716
29	1113	36018
30	1128	35285
31	1136	34365
32	1141	33454
33	1189	33791
34	1193	32911
35	1199	32132
36	1203	31310
37	1205	30517
38	1207	29764
39	1210	29063
40	1261	29497
41	1324	30214
42	141	1344	3043	1369	29765
44	1406	29845
45	1455	30182
46	1459	29589
47	1461	28977
48	1464	28422
49	1476	28050
50	1566	29147
51	1570	28630
52	1608	28734
53	1610	28216
54	1654	28425
55	1659	27976
56	1685	27878
57	1686	27393
58	1688	26926
59	1689	26474
60	1703	26217
61	1705	25796
62	1799	26757
63	1801	26344
64	1928	27746
65	2033	28776
66	2042	28449
67	2117	29022
68	2125	28684
69	2127	28263
70	2131	27884
71	2132	27485
72	2135	27120
73	2137	26745
74	2138	26377
75	2140	26020
76	2148	25754
77	2152	25438
78	2154	25122
79	2157	24806
80	2159	24501
81	2253	25231
82	2300	25417
83	2302	25105
84	2303	24796
85	2305	24499
86	2307	24216
87	2308	23924
88	2309	23640
89	2310	23362
90	2311	23085
91	2312	22821
92	2313	22560
93	292	2344	2294	2396	22831
95	294	2420	2396	2423	22558
97	2478	22811
98	2479	22569
99	2495	22458
100	2497	22226
101100	2534	22557
101	2535	223103	2634	22698
104	2637	22480
105	2640	22265
106	2744	22907
107	2746	22681
108	2749	22476
109	2766	22380
110	2846	22798
111	2847	22576
112	2848	22361
113	2849	22148
114	2850	21939
115	2854	21753
116	2856	21555
117	2859	21375
118	2860	21180
119	2862	20990
120119	2976	21828
120	2987	21704
121	3147	22650
122	3148	22452
123	3154	22286
124	3167	22173
125	3209	22262
126	3210	22068
127	3214	21898
128	3216	21714
129	3253	21773
130	3259	21624
131	3326	21873
132	3384	22062
133	3386	21883
134	3416	21890
135	3419	21723
136	3472	21871
137	3474	21704
138	3480	21559
139	3483	21400
140	3491	21272
141	3526	21308
142	3534	21180
143	3535	21016
144	3536	20855
145	146	3539	20540
147	3542	20147	3639	20950
148	149	3612	20149	3647	20671
150	151	3690	20590
152	3693	20446
153	3698	20319
154	3703	20188
155	3744	20258
156	3745	20113
157	3747	19969
158	3748	19158	159	3810	20006
160	3870	20170
161	3873	20038
162	3877	19162	163	3913	19163	3971	20246
164	3992	20206
165	4024	20221
166	4027	20087
167	168	4000	19168	4042	19879
169	4052	19787
170	4054	19654
171	172	4094	19572
173	4108	19173	4157	19736
174	4163	19629
175	176	4175	19413
177	4179	19301
178	4271	19589
179	4278	19490
180	4279	19364
181	4303	19341
182	4402	19657
183	4411	19561
184	4520	19915
185	4523	19794
186	4526	19680
187	4529	19563
188	4656	19979
189	4669	19906
190	4672	19792
191	4758	20023
192	4773	19957
193	4781	19866
194	4783	19748
195	4855	19918
196	4860	19813
197	4889	19803
198	4893	19694
199	4920	19680
200	4957	19707
201	4960	19596
202	4961	19480
